Filetype: AmiTool Amiibo Name DB
Version: 1
AmiiboCount: 950

8-Bit Link: 01000000034f0902|9546
8-Bit Mario Classic Color: 0000000002380602|591
8-Bit Mario Modern Color: 0000000002390602|733
A.K.I [Street Fighter 6]: 34d3000104be1d02|117789
A.K.I [Street Fighter 6]: 34d3000104de1d02|117918
Ace: 0a1b000103d20502|103932
Admiral: 0233000103060502|30812
Agent S: 04e2000101090502|74181
Agnes: 0489000100ef0502|68217
Akuma [Street Fighter 6]: 34d5000104c01d02|118295
Akuma [Street Fighter 6]: 34d5000104e01d02|118424
Al: 03710001005c0502|51527
Alex [Street Fighter 6]: 34db000104e61d02|119617
Alex [Street Fighter 6]: 34db000104ef1d02|119744
Alex [Super Smash Bros.]: 3dc1000004230002|127374
Alfonso: 02c3000100dc0502|39373
Alice: 03bd000100f90502|55913
Alli: 02c4000100670502|39506
Alm: 2106000003601202|109203
Amelia: 044c0001008e0502|63690
Anabelle: 02030001019a0502|27714
Anchovy: 022f0001011e0502|30289
Angus: 024a000101d10502|31723
Anicotti: 0416000100fb0502|60928
Ankha: 0270000100ff0502|35097
Annalisa: 0208000100960502|27975
Annalise: 03ad000101b20502|55140
Antonio: 02010001016a0502|27451
Apollo: 044b0001016c0502|63559
Apple: 037f000101aa0502|52160
Asana Mutsuba: 38460001042a1902|126093
Astrid: 03d6000101570502|57346
Audie: 0a0c000103c30502|101963
Aurora: 045f000101a80502|64726
Ava: 029e0001013d0502|38093
Avery: 0450000100cf0502|64075
Axel: 03290001009d0502|46872
Azalea: 0a1e000103d50502|104313
Baabara: 04c6000101670502|71967
Baby Luigi - Baseball: 09cd020102ab0e02|96422
Baby Luigi - Golf: 09cd040102ad0e02|96752
Baby Luigi - Horse Racing: 09cd050102ae0e02|96914
Baby Luigi - Soccer: 09cd010102aa0e02|96258
Baby Luigi - Tennis: 09cd030102ac0e02|96588
Baby Mario - Baseball: 09cc020102a60e02|95596
Baby Mario - Golf: 09cc040102a80e02|95926
Baby Mario - Horse Racing: 09cc050102a90e02|96088
Baby Mario - Soccer: 09cc010102a50e02|95432
Baby Mario - Tennis: 09cc030102a70e02|95762
Bam: 02d7000101300502|40398
Bandana Waddle Dee (& Winged Star): 1f03010004c91e03|107880
Bangle: 04fd0001007b0502|76258
Banjo & Kazooie: 3b40000003a30002|126442
Barioth and Ayuria: 3503010002e50f02|120684
Barold: 028d000101bd0502|37329
Bayonetta: 32400000025b0002|111113
Bayonetta - Player 2: 3240010003640002|111248
Bea: 02f4000103050502|43116
Beardo: 02210001013c0502|29778
Beau: 02dd000100ea0502|41173
Becky: 02a2000101ba0502|38218
Bella: 040e000100880502|60165
Benedict: 029a000100ee0502|37826
Benjamin: 02fa000100970502|43499
Bertha: 0393000100a00502|53327
Bettina: 041b000100f10502|61329
Bianca: 0500000100e70502|76659
Biff: 0394000100890502|53458
Big Man: 0809000004350402|85634
Big Man - Splatoon Raiders: 0809000004f90402|85755
Big Top: 03250001010a0502|46351
Bill: 0307000100640502|43888
Billy: 0358000102fa0502|50111
Birdo - Baseball: 09ce020102b00e02|97238
Birdo - Golf: 09ce040102b20e02|97548
Birdo - Horse Racing: 09ce050102b30e02|97700
Birdo - Soccer: 09ce010102af0e02|97084
Birdo - Tennis: 09ce030102b10e02|97394
Biskit: 02ed0001015a0502|42204
Bitty: 0395000102fc0502|53585
Blaire: 04de000100ce0502|73658
Blanca: 01b3000100b50502|26247
Blanche: 043e000101490502|63164
Blanka [Street Fighter 6]: 34c8000104b31d02|114899
Blanka [Street Fighter 6]: 34c8000104d31d02|115030
Blathers [Animal Crossing]: 0192000002470502|20607
Blathers [Animal Crossing]: 01920001010d0502|20744
Blathers [Animal Crossing]: 0192000103ad0502|20879
Bluebear: 027d000100630502|35470
Bob: 025d000100550502|32490
Bokoblin: 01410000035c0902|13443
Bonbon: 04a5000100740502|70554
Bones: 02ee000101990502|42335
Boo: 0017000002680102|7954
Boo - Baseball: 09cb020102a10e02|94826
Boo - Golf: 09cb040102a30e02|95128
Boo - Horse Racing: 09cb050102a40e02|95276
Boo - Soccer: 09cb010102a00e02|94676
Boo - Tennis: 09cb030102a20e02|94978
Booker: 019e000100ad0502|23104
Boomer: 0469000101640502|65755
Boone: 036b0001018b0502|51014
Boots: 02c5000103080502|39633
Boris: 0481000102f10502|67314
Bowser [Super Smash Bros.]: 0005000000140002|4824
Bowser [Super Mario Bros.]: 0005000000390102|4955
Bowser - Baseball: 09c9020102970e02|93211
Bowser - Golf: 09c9040102990e02|93527
Bowser - Horse Racing: 09c90501029a0e02|93682
Bowser - Soccer: 09c9010102960e02|93054
Bowser - Tennis: 09c9030102980e02|93370
Bowser - Wedding: 0005000003730102|5086
Bowser Jr.: 0006000000150002|5359
Bowser Jr. - Baseball: 09ca0201029c0e02|94010
Bowser Jr. - Golf: 09ca0401029e0e02|94342
Bowser Jr. - Horse Racing: 09ca0501029f0e02|94505
Bowser Jr. - Soccer: 09ca0101029b0e02|93845
Bowser Jr. - Tennis: 09ca0301029d0e02|94177
Boyd: 036e000102fb0502|51267
Bree: 040f000101500502|60294
Brewster: 0190000101710502|20343
Broccolo: 0418000100d80502|61063
Broffina: 02a50001018c0502|38601
Bruce: 02d9000101c80502|40651
Bubbles: 0392000101270502|53193
Buck: 03a40001014f0502|53972
Bud: 03e6000100ec0502|57989
Bunnie: 04940001009a0502|68346
Butch: 02eb000100de0502|41950
Buzz: 044e000103150502|63947
Byleth: 210b000003a50002|109824
C. Viper [Street Fighter 6]: 34da000104e51d02|119345
C. Viper [Street Fighter 6]: 34da000104ee1d02|119481
C.J.: 0a02000103b30502|100659
Callie: 08010000025d0402|83482
Callie - Alterna: 0801000004360402|83602
Cally: 04e8000101ce0502|74958
Cammy [Street Fighter 6]: 34d1000104bc1d02|117265
Cammy [Street Fighter 6]: 34d1000104dc1d02|117395
Camofrog: 033b000100fa0502|47885
Canberra: 03c40001012b0502|56552
Candi: 04140001030a0502|60674
Captain Falcon: 0600000000120002|79836
Captain Toad & Talking Flower: 000a010004c20102|7146
Carmen: 04a4000100d40502|70422
Caroline: 04e3000101650502|74314
Carrie: 03d3000102f30502|57214
Cashmere: 04c90001030d0502|72364
Celeste [Animal Crossing]: 0193000002480502|21014
Celeste [Animal Crossing]: 0193000101740502|21150
Celeste [Animal Crossing]: 0193000103ae0502|21278
Celia: 0454000101ae0502|64602
Celica: 2107000003611202|109322
Cephalobot: 0a17000103ce0502|103400
Cesar: 0369000100d30502|50758
Chabwick: 0a19000103d00502|103670
Chadder: 041e0001015f0502|61722
Chai: 032e0101031c0502|47387
Charizard: 1906000000240002|104965
Charlise: 0220000100fd0502|29642
Chef Kawasaki (& Hop Star): 1f04000004ca1e03|108036
Chelsea: 02e00101031d0502|41552
Cheri: 02870001005a0502|36807
Cherry: 02fb000100900502|43634
Chester: 028c0001013e0502|37195
Chevre: 0356000101350502|49853
Chibi Robo: 22c00000003a0202|110856
Chief: 050b000100990502|76790
Chip: 019a000100b70502|22590
Chops: 0486000100fc0502|67827
Chow: 0217000101b30502|28614
Chrissy: 04a10001016f0502|70030
Chrom [Fire Emblem]: 21080000036f1202|109448
Chrom [Super Smash Bros.]: 2108000003880002|109572
Chun-Li [Street Fighter 6]: 34c5000104b01d02|114115
Chun-Li [Street Fighter 6]: 34c5000104d01d02|114249
Claude: 049f000103010502|69762
Claudia: 04ff000101620502|76525
Clay: 03830001009b0502|52673
Cleo: 03ab000103160502|54884
Cloud: 3600000002590002|123671
Cloud - Player 2: 3600010003620002|123810
Clyde: 03ae000100870502|55269
Coach: 0251000100c10502|32234
Cobb: 04800001008d0502|67186
Coco: 0496000100d90502|68602
Cole: 04a6000100a30502|70685
Colton: 03af0001012c0502|55399
Cookie: 02f2000100cc0502|42852
Copper: 019d000100ac0502|22972
Corrin: 21050000025a0002|108928
Corrin - Player 2: 2105010003630002|109060
Cousteau: 0342000101280502|48677
Cranston: 043c000101cb0502|62906
Croque: 03490001018d0502|49469
Cube: 0461000101610502|64981
Curlos: 04cd000101520502|72632
Curly: 0478000101630502|66392
Curt: 0216000100570502|28486
Cyd: 0a0d000103c40502|102092
Cyrano: 0200000100a10502|27319
Cyrus [Animal Crossing]: 018b000002460502|18706
Cyrus [Animal Crossing]: 018b000101150502|18838
Daijobu: 3805000103981702|125263
Daisy [Super Mario Bros.]: 0013000002660102|7299
Daisy [Super Smash Bros.]: 00130000037a0002|7429
Daisy [Animal Crossing]: 02f1000101450502|42722
Daisy - Baseball: 09c3020102790e02|88393
Daisy - Golf: 09c30401027b0e02|88705
Daisy - Horse Racing: 09c30501027c0e02|88858
Daisy - Power Up Band: 00130003039eff02|7559
Daisy - Soccer: 09c3010102780e02|88238
Daisy - Tennis: 09c30301027a0e02|88550
Daisy Mae: 0a04000103b50502|100917
Dark Pit: 0741000000200002|80631
Dark Samus: 05c3000003800002|79462
Daruk: 0105000003580902|12047
Dee Jay [Street Fighter 6]: 34cb000104b61d02|115701
Dee Jay [Street Fighter 6]: 34cb000104d61d02|115835
Deena: 030b000100790502|44397
Deirdre: 02da000101330502|40775
Del: 02c7000101220502|39762
Deli: 0401000100660502|59775
Derwin: 030f0001016d0502|44917
Detective Pikachu: 1d01000003750d02|106279
Dhalsim [Street Fighter 6]: 34c9000104b41d02|115161
Dhalsim [Street Fighter 6]: 34c9000104d41d02|115295
Diana [Animal Crossing]: 02de0001009c0502|41300
Diana [Pragmata]: 3580000005062102|122868
Diddy Kong [Super Smash Bros.]: 00090000000d0002|6472
Diddy Kong [Super Mario Bros.]: 0009000002650102|6612
Diddy Kong - Baseball: 09c8020102920e02|92388
Diddy Kong - Golf: 09c8040102940e02|92720
Diddy Kong - Horse Racing: 09c8050102950e02|92883
Diddy Kong - Power Up Band: 000900030432ff02|6752
Diddy Kong - Soccer: 09c8010102910e02|92223
Diddy Kong - Tennis: 09c8030102930e02|92555
Digby [Animal Crossing]: 018c000002430502|18968
Digby [Animal Crossing]: 018c0001004c0502|19100
Digby - Raincoat: 018c010101180502|19230
Diva: 034a000101430502|49595
Dizzy: 0324000101890502|46227
DJ KK: 0182010100460502|15727
Dobie: 050f000103140502|77312
Doc: 049e000101b70502|69642
Dom: 0a0b000103c20502|101837
Don Resetti: 018f000100b30502|20045
Don Resetti - Without Hat: 018f010101190502|20187
Donkey Kong [Super Smash Bros.]: 0008000000030002|5759
Donkey Kong [Super Mario Bros.]: 0008000002640102|5901
Donkey Kong & Pauline: 00080100042f1a02|6184
Donkey Kong - Baseball: 09c70201028d0e02|91549
Donkey Kong - Golf: 09c70401028f0e02|91885
Donkey Kong - Horse Racing: 09c7050102900e02|92050
Donkey Kong - Power Up Band: 000800030431ff02|6043
Donkey Kong - Soccer: 09c70101028c0e02|91382
Donkey Kong - Tennis: 09c70301028e0e02|91718
Dora: 040c000101590502|59903
Dotty: 0495000101920502|68478
Dr. Mario: 0000010000190002|1414
Drago: 02cb000101360502|40138
Drake: 0310000100f80502|45049
Drift: 033c000101000502|48021
Duck Hunt: 07820000002f0002|81333
E. Honda [Street Fighter 6]: 34ca000104b51d02|115429
E. Honda [Street Fighter 6]: 34ca000104d51d02|115565
E.M.M.I.: 05c4000004131302|79598
Ed [Animal Crossing]: 03aa000100e60502|54760
Ed [Street Fighter 6]: 34d4000104bf1d02|118047
Ed [Street Fighter 6]: 34d4000104df1d02|118171
Egbert: 029b000100cb0502|37961
Elena [Street Fighter 6]: 34d8000104e31d02|118825
Elena [Street Fighter 6]: 34d8000104ec1d02|118955
Elephant Mario: 0000040004c10102|1684
Elise: 03fe000101a40502|59393
Ellie: 032a000103070502|46999
Elmer: 03a7000101a10502|54372
Eloise: 0326000101390502|46484
Elvis: 03e70001012a0502|58115
Ena: 35060000040d0f02|121084
Erik: 02df000101910502|41430
Etoile: 04d30101031b0502|73406
Eugene: 03c6000100930502|56818
Eunice: 04c7000100940502|72100
Faith: 0a20000103d70502|104578
Falco: 05810000001c0002|78205
Fang: 0511000101950502|77572
Fauna: 02d6000100560502|40268
Felicity: 026e000100ba0502|34837
Filbert: 04df000100e80502|73789
Flick: 0a03000103b40502|100787
Flip: 03ff000100f40502|59517
Flo: 046c0001008c0502|66130
Flora: 043f000101550502|63297
Flurry: 0384000100860502|52801
Fox: 0580000000050002|78082
Francine: 04a00001016e0502|69894
Frank: 04510001015e0502|64204
Franklin: 01ae0001011b0502|25571
Freckles: 030e0001012f0502|44781
Frett: 0a1d000103d40502|104183
Freya: 0510000101070502|77442
Friga: 0463000101310502|65241
Frita: 04d0000101960502|73026
Frobert: 033a000101cc0502|47757
Frye: 0808000004340402|85383
Frye - Splatoon Raiders: 0808000004f80402|85499
Fuchsia: 02dc000100be0502|41039
Gabi: 0499000100df0502|68992
Gakuto Sōgetsu: 3842000104261902|125623
Gala: 04850001014c0502|67699
Ganda: 3804000103971702|125161
Ganondorf: 01020100001b0002|11594
Ganondorf - Tears of the Kingdom: 01020100041a0902|11736
Gaston: 04980001014a0502|68860
Gayle: 02ca000101ca0502|40014
Genji: 049c000101400502|69384
Gigi: 03480001006b0502|49341
Gladys: 0437000101050502|62378
Gloria: 0316000101c00502|45707
Golden - Power Up Band: 000000030430ff02|1143
Goldie: 02ea000101800502|41674
Goldie - Amiibo Festival: 02ea000101d50502|41800
Gonzo: 03c0000103100502|56292
Goomba: 0015000003670102|7822
Goose: 0299000100950502|37696
Grace Ashcroft: 3540000005032002|122574
Gracie: 01a9000101760502|24941
Graham: 0380000101870502|52283
Grams: 0199000101160502|22460
Green Yarn Yoshi: 0003010200410302|3828
Greninja: 1b92000000250002|105881
Greta: 041c000101410502|61462
Grizzly: 021d000101cd0502|29258
Groucho: 021a000100da0502|28864
Gruff: 035a000100850502|50240
Guardian: 0140000003550902|13301
Guile [Street Fighter 6]: 34c6000104b11d02|114383
Guile [Street Fighter 6]: 34c6000104d11d02|114513
Gulliver [Animal Crossing]: 01a20001017d0502|23627
Gulliver [Animal Crossing]: 01a2000103b90502|23757
Gwen: 0464000100c00502|65371
Hamlet: 037e000101560502|52028
Hammer Slam Bowser: 0005ff00023a0702|5228
Hamphrey: 0385000101060502|52933
Hans: 0373000101340502|51782
Harriet: 01910001004e0502|20473
Harry: 0398000100bf0502|53714
Harvey: 0a05000103b80502|101055
Hayakawa: 3803000103961702|125053
Hazel: 04ef0001013b0502|75744
Henry: 034b0001009f0502|49723
Hero: 3640000003a20002|124100
Hippeux: 0399000101c20502|53844
Hopkins: 04a2000102e80502|70164
Hopper: 0462000100f60502|65109
Hornsby: 04b6000102ec0502|71435
